timestamp,sensor_1,sensor_2,sensor_3
1503921244105,0.603128,0,0
1503921244166,0.936461,0,0
1503921244228,0.666667,0,0
1503921244291,0.414467,0,0
1503921244354,0.403715,0,0
1503921244417,0.541544,0,0
1503921244478,0.546432,0,0
1503921244540,0.521017,0,0
1503921244604,0.521017,0,0
1503921244665,0.514174,0,0
1503921244729,0.522972,0,0
1503921244791,0.537634,0,0
1503921244856,0.564027,0,0
1503921244917,0.583578,0,0
1503921244980,0.936461,0,0
1503921245042,0.8348,0,0
1503921245105,0.458456,0,0
1503921245168,0.43695,0,0
1503921245229,0.487781,0,0
1503921245291,0.521017,0,0
1503921245354,0.470186,0,0
1503921245417,0.469208,0,0
1503921245482,0.475073,0,0
1503921245544,0.460411,0,0
1503921245605,0.426197,0,0
1503921245667,0.415445,0,0
1503921245729,0.434018,0,0
1503921245791,0.657869,0,0
1503921245854,0.729228,0,0
1503921245916,0.415445,0,0
1503921245979,0.347019,0,0
1503921246042,0.470186,0,0
1503921246103,0.507331,0,0
1503921246166,0.511241,0,0
1503921246229,0.494624,0,0
1503921246293,0.488759,0,0
1503921246354,0.513196,0,0
1503921246417,0.514174,0,0
1503921246479,0.534702,0,0
1503921246542,0.580645,0,0
1503921246603,0.863148,0,0
1503921246668,0.695992,0,0
1503921246729,0.464321,0,0
1503921246792,0.467253,0,0
1503921246855,0.534702,0,0
1503921246915,0.552297,0,0
1503921246980,0.534702,0,0
1503921247042,0.531769,0,0
1503921247103,0.589443,0,0
1503921247166,0.575758,0,0
1503921247231,0.583578,0,0
1503921247292,0.600196,0,0
1503921247355,0.836755,0,0
1503921247418,0.703812,0,0
1503921247478,0.465298,0,0
1503921247543,0.430108,0,0
1503921247605,0.495601,0,0
1503921247665,0.484848,0,0
1503921247728,0.476051,0,0
1503921247790,0.434995,0,0
1503921247853,0.449658,0,0
1503921247917,0.423265,0,0
1503921247979,0.423265,0,0
1503921248044,0.529814,0,0
1503921248104,0.71652,0,0
1503921248166,0.54741,0,0
1503921248229,0.451613,0,0
1503921248290,0.506354,0,0
1503921248352,0.562072,0,0
1503921248417,0.532747,0,0
1503921248480,0.549365,0,0
1503921248542,0.558162,0,0
1503921248604,0.580645,0,0
1503921248666,0.57478,0,0
1503921248728,0.751711,0,0
1503921248792,0.890518,0,0
1503921248854,0.601173,0,0
1503921248919,0.532747,0,0
1503921248980,0.600196,0,0
1503921249042,0.636364,0,0
1503921249103,0.601173,0,0
1503921249167,0.595308,0,0
1503921249230,0.603128,0,0
1503921249290,0.608016,0,0
1503921249355,0.641251,0,0
1503921249416,0.847507,0,0
1503921249477,0.936461,0,0
1503921249540,0.595308,0,0
1503921249603,0.530792,0,0
1503921249666,0.57478,0,0
1503921249727,0.580645,0,0
