timestamp,sensor_1,sensor_2,sensor_3
1503921236105,0.315738,0,0
1503921236167,0.361681,0,0
1503921236230,0.470186,0,0
1503921236291,0.480938,0,0
1503921236353,0.456501,0,0
1503921236415,0.455523,0,0
1503921236480,0.454545,0,0
1503921236542,0.469208,0,0
1503921236605,0.476051,0,0
1503921236666,0.478983,0,0
1503921236730,0.691105,0,0
1503921236792,0.785924,0,0
1503921236854,0.449658,0,0
1503921236916,0.349951,0,0
1503921236979,0.445748,0,0
1503921237043,0.518084,0,0
1503921237104,0.517107,0,0
1503921237166,0.504399,0,0
1503921237229,0.509286,0,0
1503921237293,0.512219,0,0
1503921237356,0.507331,0,0
1503921237416,0.521994,0,0
1503921237478,0.580645,0,0
1503921237545,0.916911,0,0
1503921237604,0.661779,0,0
1503921237669,0.396872,0,0
1503921237730,0.416422,0,0
1503921237790,0.517107,0,0
1503921237853,0.523949,0,0
1503921237916,0.512219,0,0
1503921237979,0.512219,0,0
1503921238041,0.512219,0,0
1503921238103,0.515152,0,0
1503921238166,0.499511,0,0
1503921238229,0.527859,0,0
1503921238291,0.780059,0,0
1503921238354,0.730205,0,0
1503921238416,0.434018,0,0
1503921238479,0.410557,0,0
1503921238541,0.486804,0,0
1503921238604,0.488759,0,0
1503921238668,0.465298,0,0
1503921238730,0.460411,0,0
1503921238790,0.474096,0,0
1503921238856,0.472141,0,0
1503921238918,0.482893,0,0
1503921238979,0.496579,0,0
1503921239041,0.717498,0,0
1503921239103,0.629521,0,0
1503921239167,0.410557,0,0
1503921239229,0.45259,0,0
1503921239291,0.524927,0,0
1503921239353,0.531769,0,0
1503921239415,0.513196,0,0
1503921239479,0.515152,0,0
1503921239541,0.518084,0,0
1503921239605,0.522972,0,0
1503921239666,0.521017,0,0
1503921239729,0.683284,0,0
1503921239790,0.800587,0,0
1503921239855,0.536657,0,0
1503921239916,0.451613,0,0
1503921239980,0.521994,0,0
1503921240042,0.546432,0,0
1503921240105,0.527859,0,0
1503921240166,0.512219,0,0
1503921240228,0.515152,0,0
1503921240290,0.514174,0,0
1503921240355,0.509286,0,0
1503921240418,0.540567,0,0
1503921240478,0.916911,0,0
1503921240543,0.629521,0,0
1503921240606,0.450635,0,0
1503921240666,0.479961,0,0
1503921240728,0.540567,0,0
1503921240791,0.514174,0,0
1503921240853,0.495601,0,0
1503921240917,0.484848,0,0
1503921240980,0.495601,0,0
1503921241041,0.478983,0,0
1503921241103,0.472141,0,0
1503921241166,0.687195,0,0
1503921241229,0.715542,0,0
1503921241291,0.407625,0,0
1503921241355,0.349951,0,0
1503921241419,0.43304,0,0
1503921241479,0.475073,0,0
1503921241543,0.487781,0,0
1503921241605,0.486804,0,0
1503921241666,0.495601,0,0
1503921241729,0.502444,0,0
1503921241790,0.505376,0,0
1503921241854,0.579668,0,0
1503921241916,0.88172,0,0
1503921241978,0.671554,0,0
1503921242040,0.424242,0,0
1503921242104,0.454545,0,0
1503921242165,0.531769,0,0
1503921242229,0.548387,0,0
1503921242291,0.525904,0,0
1503921242354,0.541544,0,0
1503921242417,0.557185,0,0
1503921242478,0.552297,0,0
1503921242540,0.552297,0,0
1503921242603,0.899316,0,0
1503921242666,0.833822,0,0
1503921242731,0.509286,0,0
1503921242791,0.470186,0,0
1503921242856,0.560117,0,0
1503921242919,0.56305,0,0
1503921242977,0.541544,0,0
1503921243042,0.490714,0,0
1503921243103,0.497556,0,0
1503921243166,0.485826,0,0
1503921243231,0.497556,0,0
1503921243291,0.492669,0,0
1503921243357,0.878788,0,0
1503921243417,0.735093,0,0
1503921243478,0.368524,0,0
1503921243542,0.304008,0,0
1503921243604,0.370479,0,0
1503921243669,0.43695,0,0
1503921243731,0.450635,0,0
1503921243792,0.472141,0,0
1503921243854,0.482893,0,0
1503921243916,0.504399,0,0
1503921243981,0.488759,0,0
1503921244043,0.508309,0,0
